procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 96843176 100624 28634548    0    0     0     0 1999 1635  8  1 91  0  0
 4  0      0 96916976 100624 28561360    0    0     0     0 2043 1455  8  1 91  0  0
 4  0      0 96915872 100624 28562428    0    0     0    16 2429 1700  8  1 90  0  0
 8  0      0 96918544 100624 28560652    0    0     0     0 2616 1617  8  1 91  0  0
 4  0      0 96918984 100624 28560656    0    0     0     8 2551 1743  8  1 91  0  0
 5  0      0 96896656 100624 28579500    0    0     0     0 2581 1733  8  1 91  0  0
 4  0      0 96914224 100624 28560616    0    0     0     0 2423 1469  8  1 91  0  0
 4  0      0 96920232 100624 28560884    0    0     0    44 2555 1922  9  1 90  0  0
 8  0      0 96895104 100624 28579488    0    0     0     4 2076 1467  9  1 90  0  0
 4  0      0 96910624 100624 28560316    0    0     0     8 2268 1536  8  1 91  0  0
 4  0      0 96915024 100624 28560388    0    0     0     0 2150 1821  8  1 90  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 8  0      0 96911424 100624 28561340    0    0     0     0 2034 1460  8  1 91  0  0
 8  0      0 96858632 100624 28615924    0    0     0    36 2014 1578  8  1 91  0  0
 4  0      0 96915032 100624 28561848    0    0     0     0 2153 1682  8  1 91  0  0
 4  0      0 96916536 100624 28560920    0    0     0     0 1876 1309  8  1 91  0  0
 4  0      0 96915544 100624 28561232    0    0     0     0 2236 1868  8  1 90  0  0
